model,precision,recall,f1,pr_auc,roc_auc,threshold
ECOD,0.3105263157894737,0.39864864864864863,0.34911242603550297,0.2515426800601031,0.9459015848018721,120.58116749500444
Half-Space Trees,0.5158730158730159,0.4391891891891892,0.4744525547445255,0.38725990492972784,0.9504520875879102,0.9135271326771954
